id,lat,lon
255016519,-16.3145,-71.6075
255016524,-16.301,-71.6215
255016529,-16.3002,-71.6226
255016533,-16.2951,-71.6295
255016538,-16.2948,-71.6301
255016543,-16.2947,-71.631
255016548,-16.2946,-71.6329
255016553,-16.2953,-71.6362
255016586,-16.295,-71.6373
255016591,-16.294,-71.6381
255016595,-16.2938,-71.6395
255016600,-16.2939,-71.6399
255016605,-16.2939,-71.6401
255016614,-16.2954,-71.6411
255016643,-16.2958,-71.6419
255016647,-16.2962,-71.6424
255016651,-16.297,-71.6426
255017071,-16.2973,-71.6428
255017072,-16.2975,-71.643
255017073,-16.2973,-71.6452
255017074,-16.297,-71.6455
255017076,-16.2959,-71.646
255017086,-16.2953,-71.649
255017116,-16.2958,-71.6475
255017117,-16.2952,-71.6486
255017118,-16.2956,-71.6496
255017119,-16.2962,-71.6501
255017120,-16.2965,-71.6505
255017121,-16.2967,-71.6512
255017122,-16.2965,-71.652
255017123,-16.2963,-71.6524
255017128,-16.2954,-71.6526
255017131,-16.2934,-71.6521
255017132,-16.293,-71.6522
255017133,-16.2924,-71.6527
255017134,-16.2847,-71.6595
255017135,-16.2841,-71.6597
255017137,-16.281,-71.6596
255017138,-16.2794,-71.6588
255017139,-16.2792,-71.6587
255017141,-16.2786,-71.6588
255017142,-16.2781,-71.659
255017144,-16.2685,-71.6707
255017145,-16.2679,-71.6712
255017146,-16.2673,-71.6714
255017147,-16.2645,-71.6719
255017148,-16.2653,-71.6715
255017149,-16.2641,-71.6722
255017153,-16.2631,-71.6736
255017154,-16.263,-71.674
255017155,-16.263,-71.6747
255017156,-16.263,-71.6752
255017157,-16.2617,-71.6772
255017159,-16.2613,-71.6781
544126488,-16.2959,-71.63
1198591376,-16.2813,-71.6597
1198591378,-16.2953,-71.6482
1198591417,-16.2976,-71.6439
1198591422,-16.2958,-71.6463
1198591426,-16.2962,-71.6458
1198591446,-16.2954,-71.648
1198591452,-16.2976,-71.6435
1198591456,-16.2842,-71.6597
1198591496,-16.2956,-71.6527
1198591519,-16.2959,-71.6467
1198591587,-16.296,-71.6526
1198591612,-16.2815,-71.6597
1198591628,-16.2959,-71.6473
1407006790,-16.2696,-71.6693
1407006802,-16.3153,-71.6066
1407006813,-16.2938,-71.6522
1407006817,-16.294,-71.6383
1407006821,-16.2955,-71.6494
1407006823,-16.2975,-71.6447
1407006830,-16.2682,-71.671
1407006833,-16.296,-71.6422
1407006856,-16.2702,-71.6686
1862608481,-16.3176,-71.6035
3213806582,-16.3035,-71.6189
3213806585,-16.2994,-71.6203
3213806586,-16.3001,-71.6198
3213806587,-16.3089,-71.6267
3213806588,-16.3008,-71.6186
3213806589,-16.3003,-71.6194
3213806590,-16.3019,-71.6174
3213806593,-16.3028,-71.6183
3213806594,-16.3076,-71.629
3213806595,-16.3002,-71.6222
3213806596,-16.3,-71.6212
3213806597,-16.3016,-71.6194
3213806598,-16.3006,-71.6189
3213806599,-16.3004,-71.6192
3213806600,-16.3022,-71.6188
3213806601,-16.2991,-71.6206
3213806602,-16.3071,-71.6257
3213806603,-16.3003,-71.6196
3213806604,-16.3016,-71.6176
